rid,recommendation,recommendation_fr,gap_metric,gap_metric_fr,gap_criteria,gap_criteria_fr,est_budget,est_budget_fr,recom_tip,recom_tip_fr
1,"Starting from year 1, replant all trees segmented into 4.","Replantation de tous les arbres segmentés en 4. À partir de l'année 1",Pruning,La taille,Tree Age,"Âge de l'arbre",3500,0,Register for the CHED rehabilitation project to reduce your budget,"Utilisez la main d'œuvre familiale pour réduire le coût"
2,"Starting from year 1, remove and cut trees to average planting distance.","Élimination et coupe des arbres pour obtenir une distance moyenne de plantation à partir de l'année 1",Pruning,La taille,Tree Density,Densité des arbres,100,10000,Use farmily labour to reduce cost,"Utilisez la main d'œuvre familiale pour réduire le coût"
3,"If the tree show signs of decay it should be cut and replaced. If the trees are infested with other pests please control affected trees immediately (for stem borers- block open ways with sticks or other means, control moss with fungicides etc)","Si l'arbre présente des signes de pourriture, il doit être coupé et remplacé. Si les arbres sont infestés par d'autres ravageurs, veuillez contrôler immédiatement les arbres affectés (pour les foreurs de tige - bloquer les voies ouvertes avec des bâtons o",Pest and Diseases,Ravageurs et maladies,Tree Health,Santé des arbres,675,10000,"Use consentrated salt to reduce your cost on moss control,reduce canopy to reduce pest infestation and associated cost","Utilisez du sel concentré pour réduire vos coûts de contrôle des mousses, réduisez la canopée pour réduire les infestations de parasites et les coûts associés."
4,"Cut down affected trees, treat the soil and replace all trees","Couper, traiter le sol et remplacer tous les arbres",Pest and Diseases,Ravageurs et maladies,Cocoa Swollen Shoot Virus Disease (CSSVD),Maladie à virus des pousses gonflées du cacao,3500,29000,Register for the CHED rehabilitation project to reduce your budget,"Utilisez la main d'œuvre familiale pour réduire le coût"
5,Prune cocoa trees to have one stem and 3-4 branches. Remove apex branches to reduce tree height,"Taillez les cacaoyers pour avoir une tige et 3-4 branches. Retirez les branches de l'apex pour réduire la hauteur des arbres",Pruning,La taille,Pruned in the last 12 months,Taille au cours des 12 derniers mois,400,25000,Pruning should be done on a regualar basis to control canopy and cost.Use family labour to reduce cost,"L'élagage doit être effectué régulièrement pour contrôler la canopée et les coûts, en utilisant la main-d'œuvre familiale pour réduire les coûts."
6,"If the pests and diseases can be observed on more than 60 trees per acre, please apply recommended chemicals. If the pests and diseases observed is on less than 60 trees per acre, please use recommended intensification of cultural practices on the farm (t","Si les ravageurs et les maladies peuvent être observés sur plus de 60 arbres par acre, veuillez appliquer les produits chimiques recommandés. Si les ravageurs et les maladies observés concernent moins de 60 arbres par acre, veuillez utiliser l'intesificat",Pest and Diseases,Ravageurs et maladies,"Pests, diseases or sanitation issues","Ravageurs, maladies ou problèmes d'assainissement",240,22000,Conduct regualr farm scouting to spot infestation early.Take out from the farm infested pods,Effectuer un repérage régulier dans les exploitations agricoles pour détecter une infestation précoce.
7,Spread non-diseased cocoa husks evenly on the farm to mulch the soil and add organic amendment and apply chemical fertilizer,"Répartir uniformément sur la plantation pour pailler le sol et ajouter un amendement organique et épandre l'engrais chimique",Soil Management,Gestion des sols,Cocoa Husks/Fertilizer,Cosses de cacao/Engrais,100,175000,Conduct regualr farm scouting to spot infestation early.Take out from the farm infested pods,Effectuer un repérage régulier dans les exploitations agricoles pour détecter une infestation précoce.
8,Seperate and remove diseased cocoa husk from the farm immediately following anti-disease contamination protocols,A emporter de la ferme,Pest and Diseases,Ravageurs et maladies,Diseased cocoa husks,Cosses de cacao malades,0,0,Conduct regualr farm scouting to spot infestation early.Take out from the farm infested pods,"Effectuez régulièrement des repérages dans les exploitations agricoles pour détecter les infestations précoces, puis retirez les cabosses infestées de l'exploitation."
9,Seperate and remove diseased cocoa husk from the farm immediately following anti-disease contamination protocols,Retirer la coque de cacao malade de la ferme immédiatement après le protocole,Pest and Diseases,Ravageurs et maladies,Diseased cocoa husks,Cosses de cacao malades,0,0,Conduct regualr farm scouting to spot infestation early.Take out from the farm infested pods,"Effectuez régulièrement des repérages dans les exploitations agricoles pour détecter les infestations précoces, puis retirez les cabosses infestées de l'exploitation."
10,Weed the farm with a sharp cutlass or use any appropriate equipment or tool to weed,Désherber la ferme avec un coutelas tranchant ou utiliser tout équipement ou outil approprié pour désherber,Weeding,Désherbage,Is the farm weedy?,La ferme est-elle mauvaise ?,400,100000,Use family labour if possible to reduce cost,"Utilisez la main-d'œuvre familiale si possible pour réduire les coûts"
11,Weed the farm thoroughly. Weeds on the farm should not be above 30-45 cm.,Désherber soigneusement la ferme.Les mauvaises herbes à la ferme ne doivent pas dépasser 30-45 cm,Weeding,Désherbage,Has the farm been weeded well?,La ferme a-t-elle été bien désherbée ?,400,100000,Use family labour if possible to reduce cost,"Utilisez la main-d'œuvre familiale si possible pour réduire les coûts"
12,"Use harvesting tools that minimise the risk of injury or accidents (long sickle, cutlass etc)","Utilisez des outils qui minimisent les risques de blessures ou d'accidents (faucille longue, coutelas, etc.)",Harvesting,Récolte,Tools for harvesting,Outils pour la récolte,25,0,No additional tip,Pas de pourboire supplémentaire
13,Harvest only ripe cocoa pods to get sufficient bean weight,Récoltez uniquement à maturité pour obtenir un poids de haricots suffisant,Harvesting,Récolte,Stage of harvested cocoa pod,Stade de la cabosse récoltée,0,0,No additional tip,Pas de pourboire supplémentaire
14,Leave tree stalks on the tree to help with regeneration of pods and flowers,"Laissez les tiges des arbres sur l'arbre pour aider à la régénération des gousses et des fleurs",Harvesting,Récolte,Preventing cushion damage,Prévenir les dommages aux coussins,0,0,No additional tip,Pas de pourboire supplémentaire
15,"Teach farmer to use minimum strokes to avoid tree cuts, cushion damages and prematurely dropping of inflorescence / flowers","Le fermier doit utiliser des coups minimaux pour éviter les coupes d'arbres et endommager les cussions et les fleurs qui tombent prématurément",Harvesting,Récolte,Preventing tree cuts and flower dropping during harvesting,"Prévention des coupes d'arbres et de la chute des fleurs pendant la récolte",0,0,No additional tip,Pas de pourboire supplémentaire
16,Pods should be harvested at the right intervals to avoid pods being over ripe,Les cabosses doivent être récoltées aux bons intervalles pour éviter que les cabosses ne soient trop déchirées ou malades,Harvesting,Récolte,Harvesting regime,Régime de récolte,0,0,No additional tip,Pas de pourboire supplémentaire
17,Plant recommended shade trees to provide shade to cocoa farm,"Plantez des arbres d'ombrage recommandés pour fournir de l'ombre à la plantation de cacao",Pruning,La taille,Shade tree count,"Nombre d'arbres d'ombrage",25,15000,Register for SMS shade tree distribution for your district,"Inscrivez-vous pour la distribution d'arbres d'ombrage par Zamacom dans votre coopérative"
18,For all undesired trees cut and replace with suitable varieties,"Pour tous les arbres indésirables qui ne sont pas élagués, coupés et remplacés par des variétés appropriées",Pruning,La taille,Undesireble shade trees,"Arbres d'ombrage indésirables",25,6000,Register for SMS shade tree distribution for your district,"Inscrivez-vous pour la distribution d'arbres d'ombrage par Zamacom dans votre coopérative"
19,Make sure shade trees are 12 meters apart from each other,"Assurez-vous que les arbres d'ombrage sont distants de 12 mètres les uns des autres",Pruning,La taille,Shade tree distance,"Distance de l'arbre d'ombrage",0,0,No additional tip,Pas de pourboire supplémentaire